report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2021-000043356 Titan Mining Corporation-f1-03191352_2-1-1,2021-02-24,PEA,2535.313,2581.078546837194,2220.9502653407135,2914.938407977955,1860.8219838442326,3248.7982691187162
2021-000008301 Trevali Mining Corporation-f1-03263578_1-1-1,2021-03-31,,2579.4054,2578.857862807764,2219.0394250873455,2912.4304807483472,1859.2209873669271,3246.0030986889305
2021-000003353 Excellon Resources Inc-f1-03239357_1-1-1,2021-03-31,,2425.082,2578.857862807764,2219.0394250873455,2912.4304807483472,1859.2209873669271,3246.0030986889305
2021-000045902 NorZinc Ltd-f1-03299714_1-1-1,2021-10-15,,2645.544,2642.6332685714283,2273.9164858907016,2984.45516979653,1905.1997032099744,3326.2770710216314
2021-000003851 Salazar Resources Limited-f1-03291760_1-2-1,2021-10-26,FS,2645.544,2643.587130748299,2274.737259228814,2985.5324130670547,1905.887387709329,3327.4776953858104
2021-000043280 Steppe Gold Ltd-f1-03313510_2-1-1,2021-10-27,FS,2515.0,2644.6772589504367,2275.675285900943,2986.7635482333694,1906.6733128514493,3328.8498375163017
2021-000037111 Kutcho Copper Corp. ( Desert Star Resources Ltd.)-f1-03321014_1-1-1,2021-11-08,FS,2535.313,2645.9231197528798,2276.747316383376,2988.1705598520143,1907.5715130138724,3330.417999951149
2022-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-03358989_1-1-1,2022-01-26,,2799.8674,2647.3469606699587,2277.9724940775864,2989.7785731304675,1908.5980274852143,3332.210185590977
2022-000031522 Rockcliff Metals Corporation-f1-03340402_1-1-1,2022-02-01,,2755.775,2646.9795512418573,2277.6563479192955,2989.363639669904,1908.3331445967333,3331.7477280979506
2023-000003353 Excellon Resources Inc-f1-03481561_1-1-1,2022-03-31,,2601.4516,2660.0183767545423,2288.8759146456214,3004.089023881253,1917.733452536701,3348.159671007964
2022-000015420 Osisko Metals Incorporated-f1-03429014_2-1-1,2022-08-01,PEA,3020.3294,2715.5140690601725,2336.6284995882565,3066.7630270328555,1957.7429301163406,3418.011985005539
2022-000032649 Bunker Hill Mining Corp-f1-03446457_1-1-1,2022-08-29,,2755.775,2719.5233703544827,2340.078397997718,3071.290927334945,1960.6334256409536,3423.0584843154074
2022-000007638 Southern Silver Exploration Corp-f1-03445449_1-1-1,2022-10-13,,2932.1446,2737.2635627735217,2355.3433674069365,3091.3257954370965,1973.4231720403518,3445.3880281006714
2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2022-10-31,PEA,2645.544,2738.521111921879,2356.4254554038885,3092.7460072772037,1974.3297988858978,3446.9709026325286
2023-000029200 Silver X Mining Corp-f1-03516759_1-1-1,2022-10-31,,2755.78,2738.521111921879,2356.4254554038885,3092.7460072772037,1974.3297988858978,3446.9709026325286
2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023-01-20,FS,2535.313,2743.9085418545037,2361.061197292887,3098.8302957426376,1978.21385273127,3453.752049630771
2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023-01-31,PEA,2800.0,2741.944212595623,2359.370943583222,3096.6118825100593,1976.797674570821,3451.279552424496
2023-000029249 GoGold Resources Inc-f1-03557381_1-1-1,2023-05-17,PEA,3086.468,2753.4495696833505,2369.2710010255423,3109.6054457294413,1985.0924323677336,3465.7613217755315
2023-000026264 Ascendant Resources Inc-f1-06003352_1-1-1,2023-07-24,,2645.544,2752.8482444000206,2368.7535764205436,3108.9263396378365,1984.6589084410662,3465.004434875653
2023-000053453 Gold Resource Corporation-f1-06050160_2-1-1,2023-09-30,PEA,2755.775,2756.186213319734,2371.6258109625805,3112.696071411646,1987.065408605427,3469.205929503558
2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2023-09-30,,2645.544,2756.186213319734,2371.6258109625805,3112.696071411646,1987.065408605427,3469.205929503558
2023-000030449 Silver Tiger Metals Inc-f1-06064060_2-1-1,2023-10-27,PEA,3086.468,2755.975837127315,2371.444787777158,3112.458483274641,1986.913738427001,3468.941129421967
2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024-02-16,FS,2645.544,2833.4042186372353,2438.069875444514,3199.90214647017,2042.7355322517922,3566.4000743031047
2024-000008916 Tinka Resources Limited-f1-06113611_1-1-1,2024-02-28,,2866.006,2844.2249860616025,2447.3808614707964,3212.1225690558117,2050.53673687999,3580.0201520500204
2024-000020943 Cornish Metals Inc-f1-06124491_1-3-1,2024-04-08,,2700.0,2888.05745781412,2485.0975516073995,3261.624726045411,2082.137645400679,3635.191994276702
2024-000052252 Silver Mountain Resources Inc-f1-06149229_2-1-1,2024-05-15,,2689.6,2914.922808930423,2508.2144802895345,3291.9650827574087,2101.5061516486467,3669.007356584394
2024-000054671 Aardvark 2 Capital Corp-f1-06206632_1-1-1,2024-05-24,,2866.006,2947.1117816347687,2535.912245456877,3328.3176660463705,2124.712709278985,3709.5235504579723
2024-000032350 Atico Mining Corporation-f1-06168420_2-1-1,2024-07-02,,3306.93,2935.0048640541872,2525.494561017944,3314.64473110175,2115.9842579817,3694.284598149313
2024-000045314 Vizsla Silver Corp-f1-06174675_2-1-1,2024-07-24,,2976.237,2881.8727017762144,2479.7757315565195,3254.639978161254,2077.678761336825,3627.407254546293
2024-000006180 New Pacific Metals Corp-f1-06205411_2-1-1,2024-09-05,PEA,2756.0,2868.3920877442447,2468.1760174184333,3239.4156605390463,2067.959947092622,3610.4392333338483
2024-000030449 Silver Tiger Metals Inc-f1-06217254_1-1-1,2024-10-22,PFS,2755.775,2884.4481002791367,2481.991794293329,3257.548501817466,2079.535488307521,3630.648903355795
