report_id,effective_date,report_type,au_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2011b-000003818 ARMISTICE RESOURCES CORP-f1-01807025_1-2-1,2011-09-30,,798.0049875311721,1194.1790546889054,984.4179236676113,1361.686432832449,774.6567926463172,1529.1938109759928
2011b-000002073 Brigus Gold Corp. ( Apollo Gold Corporation)-f1-01811010_1-1-1,2011-10-06,PFS,1225.7305353990978,1214.1463117904168,1000.8778721988036,1384.4544951169516,787.6094326071905,1554.7626784434867
2011b-000030669 Ivanhoe Australia Limited-f1-01816075_1-1-2,2011-10-10,,1350.0,1225.7089508128647,1032.0677147516085,1414.5820578300577,838.4264786903525,1603.4551648472507
2012-000025546 Argonaut Gold Inc-f1-01848467_1-1-1,2011-10-15,PEA,1575.0,1225.596783142015,1031.742493288808,1412.6675261575565,837.8882034356008,1599.7382691730982
"2011b-000002881 Auriga Gold Corp. (, Ursa Major International Inc.)-f1-01840782_1-1-1",2011-10-31,PEA,1400.0,1237.3251937855634,1036.0111900130319,1428.8480960162112,834.6971862405001,1620.370998246859
2012-000000162 Gowest Gold Ltd-f1-01862155_1-1-1,2011-11-12,,1200.0,1241.1740380197587,1038.4209805681394,1426.8121194753744,835.6679231165201,1612.4502009309901
2011b-000026134 Edgewater Exploration Ltd-f1-01773843_1-2-1,2011-11-15,PEA,1300.0,1240.5658482782114,1037.9121421873458,1426.1129649107456,835.2584360964802,1611.6600815432798
2011b-000005729 Midway Gold Corp-f1-01842545_2-1-1,2011-11-15,FS,1200.0,1240.5658482782114,1037.9121421873458,1426.1129649107456,835.2584360964802,1611.6600815432798
2011b-000032019 Banks Island Gold Ltd-f1-01843901_3-1-1,2011-11-23,,1327.088212334114,1244.0412861548107,1044.1820832831957,1426.5822183635592,844.3228804115807,1609.1231505723076
2012-000033030 Intergeo MMC Ltd-f1-01908033_1-1-1,2011-12-01,PEA,1100.0,1248.4900851240784,1042.4534328497643,1426.4177896282895,836.4167805754503,1604.3454941325003
2011b-000009470 Rainy River Resources Ltd-f1-01844107_2-1-1,2011-12-23,PEA,1200.0,1263.528802006931,1057.0478782784437,1431.722440549261,850.5669545499563,1599.9160790915905
2012-000002894 Abacus Mining & Exploration Corp-f1-01846955_1-1-1,2012-01-06,FS,1085.0,1268.201093961408,1075.795643340645,1453.425486068595,883.390192719882,1638.6498781757823
2012-000001767 Dundee Precious Metals Inc-f1-01848684_1-1-1,2012-01-11,FS,1250.0,1267.2209730400184,1075.5070976290215,1449.0362030454423,883.7932222180244,1630.851433050866
2012-000004922 CORAL GOLD RESOURCES LTD-f1-01853597_1-1-1,2012-01-15,PEA,1350.0,1266.6728832793644,1075.0419266444321,1448.4094758032306,883.4109700095,1630.1460683270968
2012-000005801 Exeter Resource Corporation-f1-01849096_1-1-1,2012-01-16,PFS,1430.0,1267.953720751239,1076.1289902436129,1449.8740821398121,884.304259735987,1631.7944435283853
2012-000003703 Goldgroup Mining Inc-f1-01905402_3-1-1,2012-01-17,PEA,1500.0,1268.1287369903014,1076.27752882632,1450.0742089305754,884.4263206623386,1632.0196808708492
2012-000002830 Goldcorp Inc-f1-01884234_1-1-2,2012-01-26,,1200.0,1272.3417371138894,1079.0771519402954,1455.278138302431,885.8125667667014,1638.2145394909726
